ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
000747.OF,广发逆向策略A,广发基金,20140904,混合型,灵活配置型,沪深300指数*50%+中证全债指数*50%,1.5,0.25,程琨,1.4,20211231,0.08338804990151018,-0.1557575757575757,0.4249820531227567,0.5244332493702769,0.12471910112359558,-0.06990068754774631,1.0784635587655944
519688.OF,交银精选,交银施罗德基金,20050929,混合型,混合型,沪深300指数*75%+中证综合债券指数*25%,1.5,0.25,王崇,92.06,20211231,0.20692481779140012,-0.1629194407948154,0.5842010879339834,0.5506515795840257,0.03592032319751914,-0.06839666354592049,1.3959077766095835
519736.OF,交银新成长,交银施罗德基金,20140509,混合型,混合型,富时中国A600成长指数*75%+中证综合债券指数*25%,1.5,0.25,王崇,126.09,20211231,0.3358766233766234,-0.1598817191234254,0.5820284860173579,0.5597785990050712,0.03666903238203326,-0.06937471619769273,1.6717696645021642
501087.SH,交银瑞丰,交银施罗德基金,20190904,混合型,混合型,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,1.5,0.25,王崇,48.38,20211231,,,0.0532999999999999,0.591854172600399,-0.026778791674121883,-0.05490868979041544,0.5422
519697.OF,交银优势行业,交银施罗德基金,20090121,混合型,灵活配置型,沪深300指数收益率*60%+中证综合债券指数收益率*40%,1.5,0.25,何帅,59.57,20211231,0.1081939378694504,0.003206128528869305,0.43901766502630235,0.35929029053178985,0.19760696168063924,-0.09144496474390063,1.3661912180857751
161912.SZ,社会责任定开,万家基金,20190321,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,莫海波,15.04,20211231,,,0.34925592000000005,0.9426539925798508,0.3006274413542763,-0.12730311013134013,1.97513124
167508.SZ,安信价值发现定开,安信基金,20200430,混合型,混合型,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,1.5,0.25,张明 陈一峰,5.76,20211231,,,,0.34329999999999994,0.06655251991364561,-0.01361066517763668,0.4132
001500.OF,泓德远见回报,泓德基金,20150824,混合型,灵活配置型,沪深300指数收益率*75%+中证综合债券指数收益率*25%,1.5,0.25,邬传雁,40.38,20211231,0.10345408593091829,-0.11177278973889149,0.5364300274772452,0.7481810878765267,0.004901733885402964,-0.11541116405457007,1.3425578264532432
501071.SH,泓德丰泽,泓德基金,20190328,混合型,灵活配置型,中证800指数收益率*70%+中国债券综合全价指数收益率*30%,1.5,0.25,邬传雁,21.26,20211231,,,0.25970000000000004,0.7696496705564817,-0.14147189244720004,-0.10729908990005156,0.70849977
006259.OF,汇添富红利增长A,汇添富基金,20190426,混合型,混合型,中证红利指数收益率*60%+中证港股通高股息投资指数收益率*20%+中债综合指数收益率*20%,1.5,0.25,劳杰男 黄耀锋,23.21,20211231,,,0.1572,0.5667127549256826,0.12250413678985106,-0.08815291631860843,0.8556999999999999
519069.OF,汇添富价值精选A,汇添富基金,20090123,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,劳杰男,187.93,20211231,0.28309729808110573,-0.13830708958035096,0.40204172550219675,0.47569985060757414,-0.045927429642694646,-0.07393616997127331,1.0211261177437283
161005.SZ,富国天惠LOF,富国基金,20051116,混合型,混合型,沪深300指数收益率*70%+中债综合全价指数收益率*25%+同业存款利率*5%,1.5,0.25,朱少醒,374.75,20211231,0.27767628383647086,-0.26964117585521497,0.6213675112484933,0.586375505309563,0.0062089290625794115,-0.08977556110530678,1.1987705057368832
100039.OF,富国通胀通缩主题,富国基金,20100512,混合型,混合型,沪深300指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,曹晋,6.65,20211231,0.15992136126364315,-0.1573933372296903,0.6596531455920094,0.724258289703316,0.1199392712550607,-0.12268413809545307,1.7480431428377736
000362.OF,国泰聚信价值优势A,国泰基金,20131217,混合型,灵活配置型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.2,程洲,37.8,20211231,0.13459190382267305,-0.2577814569536424,0.6024179511487844,0.6675191813542626,0.21664110447533133,-0.11566340907219186,1.4210190147459378
020018.OF,国泰金鹿,国泰基金,20140826,混合型,混合型,沪深300指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,李海,2.36,20211231,0.0020040081657183013,0.0330000024599536,0.39610389542704555,0.4950983887895021,0.09275389908560307,-0.04949194130430014,1.2440651524908313
003940.OF,银华盛世精选A,银华基金,20161222,混合型,灵活配置型,中证800指数收益率*50%+中证综合债券指数收益率*50%,1.5,0.25,张萍 李晓星,65.47,20211231,0.47674418604651164,-0.28765356682277876,0.7247554306402437,0.8082698517977622,0.08174822975099491,-0.11857091563056373,2.128756134723336
180031.OF,银华中小盘精选,银华基金,20120620,混合型,混合型,中证500指数收益率*80%+中证综合债指数收益率*20%,1.5,0.25,张萍 李晓星 杜宇,43.83,20211231,0.2772471659376953,-0.27577049409462573,0.7257016715957312,0.5800951619666809,0.08456712637790838,-0.113836186722627,1.4256934243803743
002307.OF,银华多元视野,银华基金,20160519,混合型,灵活配置型,沪深300指数收益率*50%+中债综合指数收益率*50%,1.5,0.25,贾鹏 郭思捷,4.89,20211231,0.1983161833489242,-0.18423106947697113,0.45550239234449763,0.8474687705456938,0.09964412811387893,-0.10647249190938503,1.5827876520112256
450011.OF,国富研究精选,国海富兰克林基金,20120522,混合型,混合型,沪深300指数收益率*80%+中债国债总指数(全价)收益率*20%,1.5,0.25,徐荔蓉,6.45,20211231,0.12321144674085853,-0.1670205237084218,0.5573491928632115,0.6001091107474086,0.23661779747698602,-0.06617038875103386,1.692368839427663
450001.OF,国富中国收益,国海富兰克林基金,20050601,混合型,混合型,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,1.38,0.25,徐荔蓉,20.52,20211231,0.09505256825278594,-0.10454985479186833,0.3959783637691747,0.5267261808388551,0.18367187381585537,-0.04047322600402757,1.3733358352192968
450009.OF,国富中小盘,国海富兰克林基金,20101123,股票型,股票型,中证700指数收益率*90%+银行同业存款利率*10%,1.5,0.25,赵晓东,47.82,20211231,0.2439123790117168,-0.16835940699483995,0.4452650957797804,0.5375615766756849,0.11333600427591334,-0.06330935207121187,1.3973306571574118
002628.OF,招商安博A,招商基金,20160525,混合型,灵活配置型,沪深300指数收益率*50%+中债综合指数收益率*50%,1.5,0.25,张西林,1.51,20211231,0.025075225677031115,-0.04378060724779625,0.39584186808684957,0.5741433707535403,0.05099282185140298,-0.08887706226716345,1.060581745235707
003165.OF,鹏华弘嘉A,鹏华基金,20160819,混合型,灵活配置型,中证综合债指数收益率*50%+沪深300指数收益率*50%,0.6,0.2,汤志彦,1.21,20211231,0.04543160020191826,-0.10400772573635936,0.42187499999999983,0.5056460780598712,0.28252881663059354,-0.08249607535321819,1.3602221100454317
160919.SZ,产业升级LOF,大成基金,20141226,股票型,股票型,沪深300指数收益率*80%+中证综合债券指数收益率*20%,1.5,0.25,李林益,3.95,20211231,0.11478809738503154,-0.23244160672431913,0.5401408865957672,0.6294520547945206,0.3400588482555695,-0.10006273525721453,1.5917495671776376
240022.OF,华宝资源优选A,华宝基金,20120821,混合型,混合型,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,丁靖斐 蔡目荣,15.61,20211231,0.24670947030497584,-0.18436976953778808,0.3118406471981059,0.6023316076671825,0.39369442483288003,-0.06670533639097131,1.7802151203852328
162605.SZ,景顺鼎益LOF,景顺长城基金,20050316,混合型,混合型,沪深300指数*80%+银行同业存款利率*20%,1.5,0.25,刘彦春,216.49,20211231,0.5551761082094547,-0.1677395048439181,0.6903830373656505,0.9303370791124875,-0.10005193267286955,-0.1064189186488503,2.3963195828311235
202023.OF,南方优选成长A,南方基金,20110130,混合型,灵活配置型,沪深300指数*60%+上证国债指数*40%,1.5,0.25,骆帅,43.1,20211231,0.3069408740359896,-0.17033831628638862,0.44950213371266,0.6018972849198562,-0.05942413722687367,-0.07729049066435083,1.185089974293059
160133.SZ,南方天元LOF,南方基金,20140703,股票型,股票型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,蒋秋洁,18.22,20211231,0.30842163970998343,-0.159041394335512,0.517646760484098,0.6092990997843264,-0.083872360119534,-0.10072958152014277,1.2151144698518934
501189.SH,嘉实产业优选LOF,嘉实基金,20180705,混合型,灵活配置型,沪深300指数收益率*45%+恒生指数收益率(人民币计价)*45%+中债综合财富指数收益率*10%,1.5,0.25,刘宁 王鑫晨 谭丽,16.08,20211231,,0.01970000000000005,0.042676346512312245,0.11413248024087314,0.010809897812684863,-0.052552427103350466,0.1339999999999999
005267.OF,嘉实价值精选,嘉实基金,20171106,股票型,股票型,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,1.5,0.25,谭丽,65.04,20211231,0.032399999999999984,-0.17590081363812474,0.42495883321571404,0.7148163433759802,0.02469314079422378,-0.04387448327696351,1.0354
000136.OF,民生加银策略精选A,民生加银基金,20130607,混合型,灵活配置型,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,1.5,0.25,孙伟,28.74,20211231,0.11770252893270465,-0.14791379045865927,0.4651454835951212,0.7809591965735156,0.05827974278537754,-0.09304975316363893,1.3852199699957133
006058.OF,民生加银新兴成长,民生加银基金,20180907,混合型,混合型,沪深300指数收益率*60%+中债综合指数收益率*30%+恒生综合指数收益率*10%,1.5,0.25,孙伟,6.53,20211231,,-0.02180000000000004,0.453680981595092,0.8064992614475627,0.019390258147412798,-0.10121844085405451,1.3531
040035.OF,华安逆向策略A,华安基金,20120816,混合型,混合型,沪深300指数收益率*80%+中国债券总指数收益率*20%,1.5,0.25,崔莹,77.51,20211231,0.010935795439427319,-0.23214191714481225,0.6553107561527385,0.810000000828294,0.2650308736492397,-0.10186255601694288,1.6424487587473058
001651.OF,工银瑞信新蓝筹A,工银瑞信基金,20150806,股票型,股票型,沪深300指数收益率*80%+中债综合财富指数收益率*20%,1.5,0.25,王筱苓,3.86,20211231,0.30169172932330823,-0.16690751445086696,0.3781439722463139,0.6217747010698552,0.09196740395809085,-0.06609808102345413,1.4699248120300752
501046.SH,财通福鑫定开混合,财通基金,20171023,混合型,灵活配置型,沪深300指数收益率*55%+上证国债指数收益率*45%,1.5,0.25,梁辰 金梓才,2.95,20211231,0.014399999999999968,-0.15914020903174916,0.7191933403681556,0.5708245243128965,0.1604654191811747,0.0025440532754686445,1.6797
007802.OF,兴全合泰A,兴证全球基金,20191017,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,1.5,0.25,任相栋,94.82,20211231,,,0.0774999999999999,0.514988399071926,0.2409335947071796,-0.1053463000444291,0.8123
163402.SZ,兴全趋势LOF,兴证全球基金,20051103,混合型,灵活配置型,沪深300指数*50%+中证国债指数*45%+同业存款利率*5%,1.5,0.25,童兰 董承非,298.8,20211231,0.2528546032614269,-0.1764400941304867,0.4266698123519767,0.480027551164356,0.03742834500849019,-0.11375812150762467,1.0036361209873166
163406.SZ,兴全合润LOF,兴证全球基金,20100422,混合型,混合型,沪深300指数*80%+中证国债指数*20%,1.5,0.25,,334.06,20211231,0.27732323412769294,-0.25539768690739234,0.6285143500193022,0.7516007380996791,0.06324486732943545,-0.12654829700032846,1.5199430026081673
163412.SZ,兴全轻资产LOF,兴证全球基金,20120405,混合型,混合型,沪深300指数*80%+中证国债指数*20%,1.5,0.25,董理,87.51,20211231,0.27434788673455157,-0.15302436568226097,0.41403559672376833,0.40049011300271464,0.18669711600582192,-0.12966081242647934,1.2084362142558238
340001.OF,兴全可转债,兴证全球基金,20040511,混合型,混合型,中证可转换债券指数*80%+沪深300指数*15%+同业存款利率*5%,1.3,0.25,虞淼,47.31,20211231,0.07615889386934953,-0.0578557718672881,0.24749561921392538,0.19333176150149195,0.16166136547958732,-0.05017512402253466,0.6653944215717961
110011.OF,易方达优质精选,易方达基金,20210910,混合型,混合型,沪深300指数收益率*50%+中证香港300指数收益率*30%+中债总指数收益率*20%,1.5,0.25,张坤,199.84,20211231,0.4680630230050518,-0.14306861246272395,0.6531626406040316,0.84344951367141,-0.1349560289713451,-0.05818842114793403,2.124109664521809
001603.OF,易方达安盈回报,易方达基金,20170216,混合型,混合型,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,0.9,0.25,张清华,36.77,20211231,0.2230000000000001,-0.16107931316435,0.4454191033138402,0.5542818610923803,0.19532091106290655,-0.09226540857233366,1.5010036900000001
501053.SH,东方红目标优选,东证资管,20171218,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.7,0.2,孔令超 徐觅 饶刚,7.93,20211231,0.0005999999999999339,0.02289313206038203,0.1566382283926477,0.09924084469375138,0.06866934409925089,-0.0051064648754433044,0.38261440999999996
169106.SZ,东方红创优定开,东证资管,20180322,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.7,0.2,孔令超 陈觉平 饶刚,14.13,20211231,,0.01970000000000005,0.15185597959383879,0.10408479168661125,0.043298289926142944,0.0007891121992719038,0.3534857899999999
001406.OF,东方红策略精选C,东证资管,20150605,混合型,灵活配置型,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,0.6,0.1,孔令超 徐觅 饶刚,6.68,20211231,0.07736220472440945,0.006121516674280428,0.11091845930232552,0.13440086599462867,0.06122124834006157,-0.005455086838198547,0.4410988877952756
001182.OF,易方达安心回馈,易方达基金,20150529,混合型,混合型,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,0.6,0.25,张清华 林森,109.63,20211231,0.2216117216117216,-0.058470764617691205,0.4068471337579617,0.3174872665534805,0.13187285223367695,-0.039848197343453504,1.3168498168498164
110027.OF,易方达安心回报A,易方达基金,20110621,债券型,债券型,三年期银行定期存款收益率(税后)+1.0%,0.7,0.2,张清华,238.3,20211231,0.11752922900825755,-0.06643011303361744,0.20865951569295882,0.1448863611220565,0.08031164178093207,-0.02957393409214284,0.5135040675333169
000171.OF,易方达裕丰回报,易方达基金,20130823,债券型,债券型,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,0.4,0.1,张清华 张雅君,410.77,20211231,0.08632596685082873,0.04322949777495236,0.11761121267519808,0.12540894220283533,0.0621916618217053,-0.02439024267867896,0.47713488259668513
161115.SZ,易基岁丰添利LOF,易方达基金,20101109,债券型,债券型,中债新综合财富指数,0.3,0.1,胡剑,28.27,20211231,0.01645310864037489,0.015009564918820908,0.14678201953767292,0.11700064284139688,0.07177318210178953,0.004605263252910177,0.4219200877499127
007916.OF,财通资管鸿福短债C,财通证券资管,20191015,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+银行活期存款利率(税后)*20%,0.3,0.1,李杰 邹舟,180.37,20211231,,,0.009800000000000031,0.047336106159635634,0.02931164901664137,0.0036744442403086565,0.09260000000000002
161015.SZ,富国天盈LOF,富国基金,20140523,债券型,债券型,中债综合指数,0.7,0.2,俞晓斌,29.18,20211231,0.02083848117947459,0.05809262546393403,0.07994436480097614,0.046673561547914966,0.06805718170074834,0.0053030277765397415,0.3109461494110864
161014.SZ,富国汇利定开,富国基金,20171211,债券型,债券型,中债综合指数收益率,0.5,0.15,张洋 黄纪亮,5.51,20211231,0.0013986013986014515,0.08381449059415147,0.07746497937435552,0.0455984891583231,0.06825853572109727,0.0054724856850324995,0.3128680652680652
160618.SZ,鹏华丰泽LOF,鹏华基金,20141208,债券型,债券型,中债总指数收益率,0.7,0.2,祝松 邓明明,9.67,20211231,0.018617021276595862,0.1088850174216028,0.04748427672955975,0.02371660162113485,0.04897360703812314,0.006360078277886417,0.27650709219858166
161911.SZ,万家强化收益定开,万家基金,20130507,债券型,债券型,三年期银行定期存款收益率(税后),0.7,0.2,苏谋东 陈奕雯,3.52,20211231,0.02528541874185897,0.08408700201808791,0.053468909880714434,0.03499153802128052,0.04625839915628311,0.005308692329395919,0.2744152938472148
008383.OF,招商安心收益A,招商基金,20191128,债券型,收益型,中债综合全价(总值)指数收益率,0.7,0.2,马龙,58.65,20211231,,,0.006826378155589866,0.03837789433286431,0.0632006899100653,0.0060254924681343944,0.11823802163833075
217022.OF,招商产业A,招商基金,20120321,债券型,债券型,三年期银行定期存款收益率(税后),0.7,0.2,马龙,142.5,20211231,0.030226043905934467,0.08726743450196171,0.06710356789476747,0.04169514577646145,0.06496063090044381,0.006161429439515148,0.33309222851931464
161716.SZ,招商双债LOF,招商基金,20150302,债券型,债券型,中债综合指数收益率*60%+天相可转债指数收益率*40%,0.6,0.2,刘万锋,127.38,20211231,0.027855153203342645,0.09304426377597108,0.06451612903225794,0.031857031857031974,0.06325301204819266,0.006373937677053909,0.3194057567316621
160632.SZ,酒LOF,鹏华基金,20150429,股票型,被动指数型,中证酒指数收益率*95%+商业银行活期存款利率(税后)*5%,1.0,0.22,,36.96,20211231,0.48734780307040765,-0.23725615746013673,0.8369806932904731,1.1795753871649761,-0.03435427398872593,-0.11544991534373174,2.8835184647961887
160633.SZ,券商LOF,鹏华基金,20150506,股票型,被动指数型,中证全指证券公司指数收益率*95%+商业银行活期存款利率(税后)*5%,1.0,0.22,,15.75,20211231,-0.09643916913946586,-0.253379273855136,0.48207431345104373,0.21905140989353913,-0.026294164948351177,-0.07932489391694562,0.09265639630728638
161028.SZ,新能源车LOF,富国基金,20150330,股票型,被动指数型,中证新能源汽车指数收益率*95%+银行人民币活期存款利率(税后)*5%,1.0,0.22,张圣贤 牛志冬,109.54,20211231,0.03903625622610919,-0.35506491638795995,0.42625513267545706,0.9605571215306781,0.384542883057839,-0.10279101403405151,1.3276809452102396
161121.SZ,银行LOF易方达,易方达基金,20200807,股票型,被动指数型,中证银行指数收益率*95%+活期存款利率(税后)*5%,0.5,0.1,刘树荣,14.83,20211231,0.15247548433389135,-0.13092644465193484,0.2481203007518798,0.07075922738573326,0.006072512948740972,0.026096218711166224,0.38244439129394864
160517.OF,博时中证银行,博时基金,20200806,股票型,被动指数型,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,0.5,0.15,赵云阳,10.14,20211231,0.1805588166236206,-0.13314109575420108,0.26654432847803655,0.11147333152223127,0.01613166042040088,0.025016035920461747,0.5008217891523832
161723.OF,招商中证银行指数A,招商基金,20150520,股票型,被动指数型,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1.0,0.2,侯昊,18.22,20211231,0.1888657076973757,-0.11535974877620764,0.31067551403820065,0.0475968618194422,0.0064822775846504425,0.02559038327065291,0.49109375205885586
110003.OF,易方达上证50增强A,易方达基金,20040322,股票型,增强指数型,上证50指数,1.2,0.2,张胜记,216.65,20211231,0.41281003516107573,-0.16656577206789078,0.5109010678358169,0.43816371783050945,-0.12973377416189505,-0.08026831134171793,1.0482493870569232
163407.SZ,兴全沪深300LOF,兴证全球基金,20101102,股票型,增强指数型,沪深300指数*95%+同业存款利率*5%,0.8,0.15,申庆,44.47,20211231,0.3182078853046595,-0.1695486677542143,0.39219537746349764,0.28702440859709355,-0.06365563107505677,-0.06064626912269738,0.7254480286738352
162216.SZ,泰达500增强LOF,泰达宏利基金,20191106,股票型,增强指数型,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,1.0,0.2,刘欣 刘洋,5.42,20211231,,,0.07991535318685322,0.3499154339055872,0.18211969221720312,-0.09651474628293577,0.5569648175049937
100061.OF,富国中国中小盘人民币,富国基金,20120904,混合型,混合型,中证香港中国中小综合指数收益率*80%+香港三个月期银行同业拆借利率(Hong Kong 3-Month Interbank Offer Rate)*20%,1.6,0.3,张峰,41.9,20211231,0.2897730456710564,-0.13334202294056316,0.2074048774311183,0.5240492136543687,-0.08733944762419385,-0.04141536178970966,0.7811900140095265
262001.OF,景顺长城大中华人民币,景顺长城基金,20110922,混合型,混合型,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),1.8,0.35,周寒颖,12.01,20211231,0.3013709485696173,-0.08141517476555848,0.2563518545648265,0.6220628905127855,-0.15212810858673134,-0.05318091297861575,0.946858808146446
000934.OF,国富大中华精选人民币,国海富兰克林基金,20150203,混合型,混合型,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index)*60%+同期人民币一年期定期存款利率(税后)*40%,1.5,0.27,徐成,35.32,20211231,0.39330543933054407,-0.14264264264264276,0.38447971781305135,0.6318471337579616,-0.020686963309914107,-0.07692307692307696,1.4225941422594142
160125.SZ,南方香港LOF,南方基金,20110926,股票型,股票型,经人民币汇率调整的恒生指数收益率*95%+人民币同期活期存款利率*5%,1.6,0.3,毕凯,3.21,20211231,0.2716188755926846,-0.14860186418109197,0.32244628571428574,0.20525766205893217,-0.15145168418270147,0.005872837976872978,0.45135526078121474
