ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
501046.SH,财通福鑫定开混合,财通基金,混合型,20171023,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,E,金梓才,2.82,20220930.0,,,,,,0.014399999999999968,-0.15914020903174916,0.7191933403681556,0.5708245243128965,0.1604654191811747,-0.09368102061431403,1.4225
003434.OF,博时鑫泽A,博时基金,混合型,20161017,0.8,0.2,沪深300指数收益率*50%+中证综合债指数收益率*50%,灵活配置型,O,金晟哲,4.47,20220930.0,,,,,-0.0010000000000000009,0.13513513513513506,-0.1428571428571428,0.4872460082304526,0.4324127842225465,0.1420598708633074,-0.1017325640340677,1.12428016
003435.OF,博时鑫泽C,博时基金,混合型,20161017,0.8,0.2,沪深300指数收益率*50%+中证综合债指数收益率*50%,灵活配置型,O,金晟哲,0.5,20220930.0,,,,,0.0,0.13969849246231145,-0.1428571428571428,0.4851957716049384,0.4301310016292555,0.1409669235574483,-0.10258697694821378,1.11393297
001907.OF,国投瑞银境煊A,国投瑞银基金,混合型,20151028,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,周思捷,3.76,20220930.0,,,,0.008999999999999897,0.02675916749256704,0.04044401544401549,0.026623376623376573,0.4471757794848621,0.5825266970586399,0.3651789589992501,-0.10758780170544874,2.0873
519712.OF,交银阿尔法A,交银施罗德基金,混合型,20120803,1.5,0.25,沪深300指数收益率*75%+中证综合债券指数收益率*25%,混合型,O,何帅,61.46,20220930.0,0.08499999999999996,-0.06451612903225812,0.6266009852216751,0.3622047244094488,0.026989773232547688,0.13512577391003164,-0.00415744908078416,0.5206785208165766,0.37227116003214394,0.1994138990749192,-0.11213496179527434,4.80207874
519697.OF,交银优势行业,交银施罗德基金,混合型,20090121,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,何帅,58.02,20220930.0,-0.019600791224599932,0.1097762289068231,0.3805470622262624,0.8194062013647789,0.0463563086033888,0.1081939378694504,0.003206128528869305,0.4390176650263024,0.35929029053178985,0.19760696168063924,-0.1122624035329784,5.611226946592339
001908.OF,国投瑞银境煊C,国投瑞银基金,混合型,20151028,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,周思捷,4.56,20220930.0,,,,0.008000000000000007,0.018849206349206254,0.03427458617332047,0.02042545180722896,0.4313128517390901,0.5730308108804951,0.3570316341583348,-0.11287254280279015,1.9379
004335.OF,华宝新飞跃,华宝基金,混合型,20170227,0.6,0.15,沪深300指数收益率*50%+上证国债指数收益率*50%,灵活配置型,O,李栋梁,2.66,20220930.0,,,,,,0.12379999999999992,-0.14211978286019394,0.383298755186722,0.40494938132733416,0.11518548171870842,-0.11343512181113295,0.8523000000000001
002624.OF,广发优企精选A,广发基金,混合型,20160804,1.5,0.25,中证800指数收益率*65%+中证全债指数收益率*35%,灵活配置型,O,程琨,11.48,20220930.0,,,,,-0.003000000000000003,0.31695085255767297,-0.08560548362528565,0.426909395302349,0.5463132238788881,0.08591132868359531,-0.11351841610568965,1.55009458
002252.OF,融通成长30AB,融通基金,混合型,20151211,1.5,0.25,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,灵活配置型,O,范琨,1.56,20220930.0,,,,0.006999999999999895,-0.04170804369414095,0.058031088082901486,-0.1537708129285014,0.5358796296296297,0.688771665410701,0.038821954484604966,-0.115979381443299,1.0579999999999998
003165.OF,鹏华弘嘉A,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.82,20220930.0,,,,,-0.009399999999999964,0.04543160020191826,-0.10400772573635936,0.42187499999999983,0.5056460780598712,0.28252881663059354,-0.11801412872841442,1.2473
003166.OF,鹏华弘嘉C,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.25,20220930.0,,,,,-0.010499999999999956,0.04335961188599157,-0.10579345088161206,0.4190403985703455,0.5025186994352007,0.28009753124047554,-0.1197619047619048,1.2182
001536.OF,南方君选,南方基金,混合型,20160203,1.5,0.25,人民币一年期定期存款利率(税后)+5%,灵活配置型,O,卢玉珊,3.38,20220930.0,,,,,0.04899999999999993,0.18589132507149672,-0.14381028938906756,0.2967354708478077,0.3986097339907214,0.13678618635842293,-0.12383177313670934,0.92399797
000747.OF,广发逆向策略A,广发基金,混合型,20140904,1.5,0.25,沪深300指数*50%+中证全债指数*50%,灵活配置型,O,程琨,1.01,20220930.0,,,0.115,0.3174887892376683,0.036078965282505066,0.08338804990151018,-0.1557575757575757,0.4249820531227567,0.5244332493702769,0.12471910112359558,-0.12419933008168298,1.9807
160613.SZ,鹏华盛世创新LOF,鹏华基金,混合型,20081010,1.5,0.25,沪深300指数收益率*75%+中证综合债指数收益率*25%,混合型,E,伍旋,2.53,20220930.0,0.11215123148232296,0.14701315681948185,0.3001567398119123,0.4498328675543865,-0.05223372892886835,0.17036209921837614,-0.1724478669756031,0.5189629678428789,0.3266790596623133,0.06855222244141107,-0.1267375303793169,3.15065243115514
004674.OF,富国新机遇A,富国基金,混合型,20171114,0.6,0.1,中债综合全价指数收益率*80%+沪深300指数收益率*20%,灵活配置型,O,孙彬,36.29,20220930.0,,,,,,0.0049999999999998926,-0.13551727571442795,0.3506508466766503,0.4867377398720682,0.13630105553005956,-0.12686793214862674,0.7295
121006.OF,国投瑞银稳健增长,国投瑞银基金,混合型,20080611,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,吉莉,6.55,20220930.0,0.14250360899154452,0.05403128760529489,0.12644137458614,0.5545532863730807,-0.044790715869083314,0.056549041021090624,-0.13572789818792594,0.4385749149755205,0.5772357720831439,0.07106038288633627,-0.12856651731881433,2.8953033065236817
001445.OF,华安国企改革A,华安基金,混合型,20150629,1.5,0.25,中证800指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,O,陈媛,21.3,20220930.0,,,,0.23600000000000002,-0.06148867313915862,0.11810344827586207,-0.12567463377023905,0.6225749559082895,0.7766304347826087,0.2392168858978281,-0.1291039249568008,2.528
001856.OF,易方达环保主题,易方达基金,混合型,20170602,1.5,0.25,中证环保产业指数收益率*65%+一年期人民币定期存款利率(税后)*35%,灵活配置型,O,祁禾,91.08,20220930.0,,,,,,0.09699999999999998,-0.14038286235186875,0.6023329798515377,1.0635340833884843,0.36401539448364345,-0.13002586409593225,2.7
001182.OF,易方达安心回馈A,易方达基金,混合型,20150529,0.6,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,李中阳 林虎,52.92,20220930.0,,,,0.05600000000000005,0.034090909090909116,0.2216117216117216,-0.05847076461769121,0.4068471337579617,0.3174872665534805,0.13187285223367695,-0.13055028462998094,1.291
001822.OF,华商智能生活A,华商基金,混合型,20151113,1.5,0.25,中证800指数收益率*65%+上证国债指数收益率*35%,灵活配置型,O,高兵,33.45,20220930.0,,,,0.0129999999999999,-0.12142152023691992,-0.07640449438202254,-0.05717761557177607,0.3496774193548387,0.7552581261950286,0.6644880174291938,-0.1318717277486911,1.653
000165.OF,国投瑞银策略精选,国投瑞银基金,混合型,20130927,1.5,0.25,沪深300指数*55%+中债总指数*45%,灵活配置型,O,吉莉,8.45,20220930.0,,0.002999999999999892,0.2786640079760719,0.6692397660818714,0.02097346786248139,0.08006588278354751,-0.07785826237980267,0.2988751251780056,0.5237891544624496,0.2279959846224047,-0.1325347041159129,3.58965259
501022.SH,银华鑫盛LOF,银华基金,混合型,20161014,1.5,0.25,沪深300指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,E,王海峰,41.87,20220930.0,,,,,0.00099999999999989,-0.10089910089910076,-0.14555555555555555,0.47074122236671,0.7541998231653404,0.266633064516129,-0.1329088738559491,1.1789999999999998
001498.OF,建信鑫荣回报A,建信基金,混合型,20161223,0.8,0.2,6%/年,灵活配置型,O,叶乐天,0.96,20220930.0,,,,,0.000399999999999956,0.16123550579768092,0.007661186192648816,0.2907910473261573,0.3100595632031768,0.07848391007830248,-0.1336753262709773,0.8494809400000001
003980.OF,中银证券瑞益A,中银证券,混合型,20170125,0.6,0.1,中债综合全价指数收益率*60%+沪深300指数收益率*40%,灵活配置型,O,张燕,0.66,20220930.0,,,,,,0.0492999999999999,-0.10342198074540077,0.3396768020412503,0.5396397111340371,0.2904489459306222,-0.13392714491132773,1.1683
003981.OF,中银证券瑞益C,中银证券,混合型,20170125,0.6,0.1,中债综合全价指数收益率*60%+沪深300指数收益率*40%,灵活配置型,O,张燕,0.19,20220930.0,,,,,,0.0444,-0.10812104960735493,0.3329754107162032,0.5386660222329627,0.2844877231558558,-0.13825147748114935,1.1143
001508.OF,富国新动力A,富国基金,混合型,20150804,0.6,0.25,同期中国人民银行公布的一年期人民币定期存款基准利率(税后)+3%,灵活配置型,O,于洋,43.83,20220930.0,,,,0.36700000000000005,-0.17922457937088507,0.08734402852049898,0.0688524590163935,0.7131901840490796,0.8124440465532679,0.06959881205235845,-0.1396815851990252,2.7258717999999997
002628.OF,招商安博A,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.97,20220930.0,,,,,-0.003000000000000003,0.025075225677031115,-0.04378060724779625,0.3958418680868496,0.5741433707535403,0.050992821851402984,-0.14147596239134289,0.9358
001181.OF,南方改革机遇,南方基金,混合型,20150519,1.5,0.25,沪深300指数收益率*60%+上证国债指数收益率*40%,灵活配置型,O,卢玉珊,3.4,20220930.0,,,,-0.003000000000000003,-0.06419257773319954,0.0,-0.1670235546038544,0.3547557840616967,0.6356736242884251,0.11890951276102092,-0.14204250907205807,0.655
001510.OF,富国新动力C,富国基金,混合型,20150804,0.6,0.25,同期中国人民银行公布的一年期人民币定期存款基准利率(税后)+3%,灵活配置型,O,于洋,12.35,20220930.0,,,,0.369,-0.18407596785975164,0.08325872873769022,0.06528925619834708,0.7059736229635376,0.8035470668485677,0.06418449319213314,-0.14383348856170775,2.61349845
002446.OF,广发利鑫A,广发基金,混合型,20160321,1.5,0.2,沪深300指数收益率*50%+中证全债指数收益率*50%,灵活配置型,O,段涛,13.77,20220930.0,,,,,0.010000000000000007,0.05247524752475241,0.0037629350893697115,0.29455909943714803,1.0144927536231885,0.08345323741007203,-0.14393533200531214,1.5784667799999998
000327.OF,南方潜力新蓝筹A,南方基金,混合型,20150529,1.5,0.25,中证700指数收益率*80%+上证国债指数收益率*20%,混合型,O,钟贇,14.34,20220930.0,,,,0.014000000000000012,0.03057199211045357,0.052631578947368585,-0.0368181818181818,0.4359192147980369,0.4322707854091356,0.24050110132158606,-0.14503375504013616,1.31123025
