ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
012166.OF,工银瑞信中债1-3年农发债E,工银瑞信基金,20210430,债券型,被动指数型,中债-1-3年农发行债券指数收益率*95%+同期银行活期存款利率(税后)*5%,0.15,0.05,陈涵,20.21,20220930,,,,,,,,,,0.01729450181961243,0.023486069561674938,0.041186751254057304
012169.OF,工银中债3-5年国开行E,工银瑞信基金,20210430,债券型,被动指数型,中债-3-5年国开行债券指数收益率*95%+同期银行活期存款利率(税后)*5%,0.15,0.05,汪湛 陈涵,0.56,20220930,,,,,,,,,,0.03026609989373009,0.027810811197045777,0.05891863588059132
012165.OF,工银瑞信彭博国开行债E,工银瑞信基金,20210430,债券型,被动指数型,彭博国开行债券1-3年指数收益率*95%+同期银行活期存款利率(税后)*5%,0.15,0.05,陈涵,15.65,20220930,,,,,,,,,,0.01574617121539373,0.000945141206491275,0.016706194777145144
012168.OF,工银瑞信中债1-5年进出口行E,工银瑞信基金,20210430,债券型,被动指数型,中债-1-5年进出口行债券指数收益率*95%+同期银行活期存款利率(税后)*5%,0.15,0.05,刘婷 陈涵,13.1,20220930,,,,,,,,,,,-0.008165326014952241,-0.008165326014952241
012172.OF,工银瑞信中债1-3年国开行E,工银瑞信基金,20210430,债券型,被动指数型,中债-1-3年国开行债券指数收益率*95%+同期银行活期存款利率(税后)*5%,0.15,0.05,陈涵,30.0,20220930,,,,,,,,,,0.018860003930817628,0.02325464644333559,0.0425532330974843
010084.OF,蜂巢丰瑞A,蜂巢基金,20210429,债券型,债券型,中债综合全价(总值)指数收益率*80%+1年期银行定期存款利率(税后)*20%,0.3,0.08,李海涛,52.88,20220930,,,,,,,,,,0.07396953000000006,0.02126612474750555,0.09680869999999997
010085.OF,蜂巢丰瑞C,蜂巢基金,20210429,债券型,债券型,中债综合全价(总值)指数收益率*80%+1年期银行定期存款利率(税后)*20%,0.3,0.08,李海涛,0.02,20220930,,,,,,,,,,0.07456942,0.02057746069118551,0.09668133000000001
012118.OF,兴全恒裕C,兴证全球基金,20210429,债券型,债券型,中证全债指数收益率,0.3,0.1,王帅,32.49,20220930,,,,,,,,,,0.02740126767430523,0.023443432042520827,0.05148707947342755
011944.OF,招商金融债3个月定开,招商基金,20210428,债券型,债券型,中债-金融债券总全价(总值)指数收益率,0.3,0.1,王刚,82.36,20220930,,,,,,,,,,0.037093279999999895,0.02775865060084099,0.06588159000000005
970025.OF,华安证券聚赢一年持有B,华安证券,20210426,债券型,债券型,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,0.6,0.08,樊艳 汪志健,3.76,20220930,,,,,,,,,,0.05879999999999996,0.020306006800151186,0.08030000000000004
970024.OF,华安证券聚赢一年持有A,华安证券,20210426,债券型,债券型,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,0.0,0.08,樊艳 汪志健,1.07,20220930,,,,,,,,,,0.06366816591704157,0.026498778425108064,0.09185407296351834
011281.OF,华宝双债增强C,华宝基金,20210423,债券型,债券型,中证综合债指数收益率*50%+中证可转换债券指数收益率*40%+沪深300指数收益率*10%,0.7,0.15,李栋梁,0.18,20220930,,,,,,,,,,0.04249999999999998,-0.011414868105515608,0.03059999999999996
012115.OF,招商招丰纯债D,招商基金,20210423,债券型,债券型,中债综合指数收益率,0.3,0.1,徐一,,,,,,,,,,,,,,
011280.OF,华宝双债增强A,华宝基金,20210423,债券型,债券型,中证综合债指数收益率*50%+中证可转换债券指数收益率*40%+沪深300指数收益率*10%,0.7,0.15,李栋梁,1.05,20220930,,,,,,,,,,0.045299999999999896,-0.007366306323543307,0.03760000000000008
011999.OF,富国安泰90天短债A,富国基金,20210423,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,0.2,0.05,吴旅忠,1.09,20220930,,,,,,,,,,0.021500000000000075,0.022809593734703745,0.04479999999999995
