,date,open,close,high,low,volume,code
555,2010-04-13,3350.726,3391.716,3401.707,3324.048,79907695.0,sh000300
556,2010-04-14,3394.635,3403.707,3404.52,3377.44,60306131.0,sh000300
557,2010-04-15,3407.025,3394.574,3412.94,3365.88,61051685.0,sh000300
558,2010-04-16,3388.286,3356.332,3388.29,3348.78,47140368.0,sh000300
559,2010-04-19,3313.499,3176.423,3313.5,3175.44,88416300.0,sh000300
560,2010-04-20,3176.414,3173.374,3196.65,3130.96,64137859.0,sh000300
561,2010-04-21,3178.877,3236.679,3237.54,3164.76,66928331.0,sh000300
562,2010-04-22,3222.68,3201.541,3231.99,3177.73,71081688.0,sh000300
563,2010-04-23,3198.784,3190.003,3224.74,3172.58,61252679.0,sh000300
564,2010-04-26,3195.457,3171.997,3207.72,3168.37,50894199.0,sh000300
565,2010-04-27,3163.101,3108.409,3163.1,3060.85,65296574.0,sh000300
566,2010-04-28,3080.324,3097.353,3122.11,3062.09,45995406.0,sh000300
567,2010-04-29,3114.941,3060.694,3130.7,3059.8,48260971.0,sh000300
568,2010-04-30,3060.12,3067.365,3068.13,3014.07,54477881.0,sh000300
569,2010-05-04,3005.487,3019.449,3056.08,2994.92,41248610.0,sh000300
570,2010-05-05,2981.777,3036.394,3036.86,2943.36,59670441.0,sh000300
571,2010-05-06,3014.907,2896.856,3014.91,2895.39,58770413.0,sh000300
572,2010-05-07,2835.879,2836.789,2892.53,2817.15,61119399.0,sh000300
573,2010-05-10,2842.366,2858.233,2872.31,2798.52,50209173.0,sh000300
574,2010-05-11,2916.335,2800.817,2922.13,2790.7,58363490.0,sh000300
575,2010-05-12,2781.708,2818.16,2832.15,2756.42,53002271.0,sh000300
576,2010-05-13,2818.578,2886.911,2886.97,2811.66,55145778.0,sh000300
577,2010-05-14,2865.58,2868.023,2888.09,2849.24,42498719.0,sh000300
578,2010-05-17,2828.882,2714.715,2828.88,2712.44,52166847.0,sh000300
579,2010-05-18,2711.407,2771.348,2781.84,2686.97,54509671.0,sh000300
580,2010-05-19,2748.952,2762.174,2803.7,2723.3,45576221.0,sh000300
581,2010-05-20,2739.219,2726.022,2793.88,2721.07,42174803.0,sh000300
582,2010-05-21,2656.419,2768.791,2769.09,2647.6,54475383.0,sh000300
583,2010-05-24,2787.751,2873.469,2886.37,2787.75,74502338.0,sh000300
584,2010-05-25,2851.256,2813.943,2855.33,2798.02,55168327.0,sh000300
585,2010-05-26,2814.444,2813.944,2839.03,2797.63,39858564.0,sh000300
586,2010-05-27,2808.048,2859.979,2866.86,2771.59,53445209.0,sh000300
587,2010-05-28,2885.857,2850.302,2893.69,2835.07,51534989.0,sh000300
588,2010-05-31,2835.334,2773.264,2857.42,2772.79,46216854.0,sh000300
589,2010-06-01,2755.284,2744.162,2782.29,2710.59,44851426.0,sh000300
