ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
001908.OF,国投瑞银境煊C,国投瑞银基金,混合型,20151028,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,周思捷,4.56,20220930.0,,,,0.008,0.0188492063492062,0.0342745861733204,0.0204254518072289,0.4313128517390901,0.5730308108804951,0.3570316341583348,-0.1128725428027901,1.9379
004335.OF,华宝新飞跃,华宝基金,混合型,20170227,0.6,0.15,沪深300指数收益率*50%+上证国债指数收益率*50%,灵活配置型,O,李栋梁,2.66,20220930.0,,,,,,0.1237999999999999,-0.1421197828601939,0.3832987551867219,0.4049493813273341,0.1151854817187084,-0.1134351218111329,0.8523000000000001
002624.OF,广发优企精选A,广发基金,混合型,20160804,1.5,0.25,中证800指数收益率*65%+中证全债指数收益率*35%,灵活配置型,O,程琨,11.48,20220930.0,,,,,-0.003,0.3169508525576729,-0.0856054836252856,0.426909395302349,0.5463132238788881,0.0859113286835953,-0.1135184161056896,1.55009458
002252.OF,融通成长30AB,融通基金,混合型,20151211,1.5,0.25,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,灵活配置型,O,范琨,1.56,20220930.0,,,,0.0069999999999998,-0.0417080436941409,0.0580310880829014,-0.1537708129285014,0.5358796296296297,0.688771665410701,0.0388219544846049,-0.1159793814432989,1.0579999999999998
003165.OF,鹏华弘嘉A,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.82,20220930.0,,,,,-0.0093999999999999,0.0454316002019182,-0.1040077257363593,0.4218749999999998,0.5056460780598712,0.2825288166305935,-0.1180141287284144,1.2473
003166.OF,鹏华弘嘉C,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.25,20220930.0,,,,,-0.0104999999999999,0.0433596118859915,-0.105793450881612,0.4190403985703455,0.5025186994352007,0.2800975312404755,-0.1197619047619047,1.2182
001536.OF,南方君选,南方基金,混合型,20160203,1.5,0.25,人民币一年期定期存款利率(税后)+5%,灵活配置型,O,卢玉珊,3.38,20220930.0,,,,,0.0489999999999999,0.1858913250714967,-0.1438102893890675,0.2967354708478077,0.3986097339907214,0.1367861863584229,-0.1238317731367093,0.92399797
000747.OF,广发逆向策略A,广发基金,混合型,20140904,1.5,0.25,沪深300指数*50%+中证全债指数*50%,灵活配置型,O,程琨,1.01,20220930.0,,,0.1149999999999999,0.3174887892376682,0.036078965282505,0.0833880499015101,-0.1557575757575757,0.4249820531227567,0.5244332493702769,0.1247191011235955,-0.1241993300816829,1.9807
160613.SZ,鹏华盛世创新LOF,鹏华基金,混合型,20081010,1.5,0.25,沪深300指数收益率*75%+中证综合债指数收益率*25%,混合型,E,伍旋,2.53,20220930.0,0.1121512314823229,0.1470131568194818,0.3001567398119122,0.4498328675543865,-0.0522337289288683,0.1703620992183761,-0.1724478669756031,0.5189629678428789,0.3266790596623133,0.068552222441411,-0.1267375303793169,3.15065243115514
004674.OF,富国新机遇A,富国基金,混合型,20171114,0.6,0.1,中债综合全价指数收益率*80%+沪深300指数收益率*20%,灵活配置型,O,孙彬,36.29,20220930.0,,,,,,0.0049999999999998,-0.1355172757144279,0.3506508466766503,0.4867377398720682,0.1363010555300595,-0.1268679321486267,0.7295
