ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,all
580008.OF,东吴新产业精选A,东吴基金,20201229,股票型,股票型,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,1.5,0.25,2.56,20210930,-0.033790918690601815,0.3300546448087432,0.28348397699260475,0.6030729833546734,-0.32188498402555915,0.03531489111241897,-0.245025582717453,0.5707831325301203,0.6528763183125601,0.08642942080686783,2.9555438225976767
011081.OF,国投瑞银港股通价值发现C,国投瑞银基金,20201229,混合型,混合型,恒生指数收益率(使用估值汇率折算)*80%+中债综合指数收益率*20%,1.5,0.25,0.13,20210930,,,,,,,,,0.026212319790301464,-0.17088122605363992,-0.14914809960681527
011124.OF,富国金融地产行业C,富国基金,20201229,混合型,混合型,中证金融地产行业指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,0.11,20210930,,,,,,,,,0.030589022757697506,-0.09092680392284219,-0.0631191432396252
011082.OF,国投瑞银医疗保健行业C,国投瑞银基金,20201229,混合型,灵活配置型,中证医药卫生指数收益率*60%+中国债券总指数收益率*40%,1.5,0.25,0.05,20210930,,,,,,,,,0.01745313510019401,-0.04903029224904703,-0.03243288946347763
011151.OF,富国医疗保健行业C,富国基金,20201228,混合型,混合型,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,0.64,20210930,,,,,,,,,0.016742455560148722,-0.06241105915836542,-0.04671351798263745
011084.OF,财通资管新添益6个月持有A,财通证券资管,20201228,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*25%,0.6,0.1,0.1,20210930,,,,,,,,,0.0,-0.025699999999999945,-0.025699999999999945
009503.OF,国寿安保创新医药C,国寿安保基金,20201228,股票型,股票型,中证医药卫生指数收益率*70%+中债综合(全价)指数收益率*20%+恒生医疗保健指数收益率*10%,1.2,0.2,0.13,20210930,,,,,,,,,0.0,-0.10899999999999999,-0.10899999999999999
009502.OF,国寿安保创新医药A,国寿安保基金,20201228,股票型,股票型,中证医药卫生指数收益率*70%+中债综合(全价)指数收益率*20%+恒生医疗保健指数收益率*10%,1.2,0.2,0.41,20210930,,,,,,,,,0.0,-0.10619999999999996,-0.10619999999999996
001058.OF,华夏理财30天B,华夏基金,20201228,债券型,债券型,七天通知存款利率(税后),0.27,0.08,0.12,20210930,0.007952969999999913,0.04879383410120814,0.051178673646236704,0.0336487078254243,0.009058588117369447,0.04422677911446681,0.04372563166392591,0.029732583376560824,-0.9999227120925849,0.023982485819484537,-0.9998971
001057.OF,华夏理财30天A,华夏基金,20201228,债券型,债券型,七天通知存款利率(税后),0.27,0.08,3.06,20210930,0.007495639999999912,0.046294572550209814,0.048661340313929914,0.040269090947578565,0.029043320082035393,0.04173651931854664,0.04121286492523084,0.027243783496186804,-0.999923754599402,0.021594188476465374,-0.9998973400000001
000833.OF,易方达富华C,易方达基金,20201228,债券型,债券型,中债新综合指数(全价)收益率,0.3,0.1,2.18,20210930,,,,,,0.02424205000000002,0.040805377970402644,0.02789372334327495,-0.9999085769485719,0.03379812244082693,-0.999896485794
005099.OF,易方达富华A,易方达基金,20201228,债券型,债券型,中债新综合指数(全价)收益率,0.3,0.1,0.7,20210930,,,,,,0.013387190000000009,0.042270020810738294,0.029349615091689308,-0.999908454421027,0.03800847406513879,-0.999896738917
010071.OF,方正富邦ESG主题投资C,方正富邦基金,20201228,混合型,混合型,中证中财沪深100ESG领先指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,0.8,0.1,0.54,20210930,,,,,,,,,0.018299999999999983,0.11764705882352933,0.1380999999999999
010070.OF,方正富邦ESG主题投资A,方正富邦基金,20201228,混合型,混合型,中证中财沪深100ESG领先指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,0.8,0.1,1.12,20210930,,,,,,,,,0.018299999999999983,0.11941471079249723,0.1398999999999999
011125.OF,富国文体健康C,富国基金,20201228,股票型,普通股票型,中证800指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,0.05,20210930,,,,,,,,,0.013812154696132506,0.16394187102633978,0.1800184162062615
011085.OF,财通资管新添益6个月持有C,财通证券资管,20201228,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*25%,0.6,0.1,0.0,20210930,,,,,,,,,0.0,-0.021299999999999986,-0.021299999999999986
011083.OF,银河聚利87个月定开债,银河基金,20201228,债券型,债券型,每个封闭期首日对应的三年定期存款基准利率(税后)+1.25%,0.15,0.05,80.75,20210930,,,,,,,,,0.00019999999999997797,0.03788348330333931,0.038091059999999954
011113.OF,富国军工主题C,富国基金,20201228,混合型,混合型,中证军工指数收益率*80%+中债综合全价指数收益率*20%,1.5,0.25,14.12,20210930,,,,,,,,,0.04730683881379873,0.1836656072426082,0.23966108533387145
011120.OF,富国创新科技C,富国基金,20201228,混合型,混合型,中证TMT产业主题指数*60%+中证全债指数收益率*40%,1.5,0.25,1.09,20210930,,,,,,,,,0.04956035171862515,-0.07768469154607759,-0.03197442046362895
010808.OF,达诚策略先锋A,达诚基金,20201225,混合型,混合型,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*15%+中债-综合指数(全价)收益率*15%,1.5,0.25,0.51,20210930,,,,,,,,,0.012699999999999934,-0.11296534017971754,-0.10170000000000001
011060.OF,西部利得策略优选C,西部利得基金,20201225,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,0.34,20210930,,,,,,,,,0.05596107055961066,0.11751152073732721,0.1800486618004866
007109.OF,南方沪港深核心优势,南方基金,20201225,混合型,混合型,经人民币汇率调整的恒生综合指数收益率*60%+上证国债指数收益率*30%+中证800指数收益率*10%,1.5,0.25,1.79,20210930,,,,,,,,,0.0045999999999999375,-0.1824606808680071,-0.17869999999999997
